canonical_brand_id,canonical_name,migration_status,registry_review_note,priority20_staged,priority20_data_quality,product_records_count,product_verified_public_count,product_review_required_count,owner_confirmed_supplier_count,official_current_verified,official_verification_batch,research_phase,action_needed
BR-00001,UNIQLO,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00002,GU,MAPPED_ONLY,Short code retained,YES,PARTIAL,4,1,3,0,YES,2026-08-08-B1,PRODUCT_EVIDENCE_PRESENT,既存商品URL/公式証拠をHuman Review
BR-00003,MUJI,MAPPED_ONLY,MUJI Labo remains a separate line record,YES,PARTIAL,3,0,3,0,YES,2026-08-08-B1,PRODUCT_EVIDENCE_PRESENT,既存商品URL/公式証拠をHuman Review
BR-00004,ROPÉ PICNIC,MAPPED_ONLY,Official diacritic retained; current display name retained as alias,YES,REVIEW_REQUIRED,22,0,22,0,YES,2026-08-08-B1,PRODUCT_EVIDENCE_PRESENT,既存商品URL/公式証拠をHuman Review
BR-00005,VIS,MAPPED_ONLY,Official capitalization requires final source readback,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00006,GLOBAL WORK,MAPPED_ONLY,Short code retained,YES,REVIEW_REQUIRED,23,0,23,0,YES,2026-08-08-B1,PRODUCT_EVIDENCE_PRESENT,既存商品URL/公式証拠をHuman Review
BR-00007,LOWRYS FARM,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00008,studio CLIP,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00009,niko and ...,MAPPED_ONLY,Space before ellipsis retained only in official/display fields,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00010,earth music&ecology,MAPPED_ONLY,Ampersand variants are aliases,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00011,Green Parks,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00012,OPAQUE.CLIP,MAPPED_ONLY,Punctuation variants are aliases,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00013,index,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00014,SHOO・LA・RUE,MAPPED_ONLY,Middle-dot variant retained,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00015,grove,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00016,ikka,MAPPED_ONLY,NOT AVAILABLE,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00017,coen,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00018,DoCLASSE,MAPPED_ONLY,Short code retained,YES,PARTIAL,20,1,19,0,YES,2026-08-08-B1,PRODUCT_EVIDENCE_PRESENT,既存商品URL/公式証拠をHuman Review
BR-00019,any SiS,MAPPED_ONLY,Both conflicting legacy IDs retained under one canonical candidate,YES,PARTIAL,0,0,0,0,YES,2026-08-08-B1,PRIORITY20_STAGED,公式商品単位の女性ニット情報を補完
BR-00020,any FAM,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B1,LEGACY_REBRANDED,現行ANYへの移行関係を保持し旧any FAMとして履歴扱い
BR-00021,LEPSIM,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00022,LAKOLE,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00023,JEANASIS,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00024,BAYFLOW,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00025,HARE,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00026,RAGEBLUE,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00027,Heather,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00028,PAGEBOY,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00029,repipi armario,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,ティーン対象としてニット商品を公式商品単位で確認
BR-00030,A part by,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00031,Elura,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性ニット商品を公式商品単位で確認
BR-00032,mysty woman,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
BR-00033,Andemiu,MAPPED_ONLY,NOT AVAILABLE,NO,,0,0,0,0,YES,2026-08-08-B2,OFFICIAL_BRAND_VERIFIED_PRODUCT_PENDING,女性向け対象範囲とニット商品を公式商品単位で確認
