canonical_brand_id,canonical_name,official_scope,current_women_scope,official_brand_url,official_knit_url,verification_status,checked_date,notes
BR-00001,UNIQLO,brand_and_women_knit,YES,https://www.uniqlo.com/jp/ja/women/sweaters/sweaters,https://www.uniqlo.com/jp/ja/women/sweaters/sweaters,VERIFIED_OFFICIAL_CURRENT,2026-08-08,公式レディース ニット・セーターを確認
BR-00002,GU,brand_and_women_knit,YES,https://www.gu-global.com/jp/ja/women/knit-and-cardigan/knit,https://www.gu-global.com/jp/ja/women/knit-and-cardigan/knit,VERIFIED_OFFICIAL_CURRENT,2026-08-08,公式レディース ニット・セーターを確認
BR-00003,MUJI,brand_and_women_knit,YES,https://www.muji.com/jp/ja/store/cmdty/section/S10002,https://www.muji.com/jp/ja/store/cmdty/section/S10002,VERIFIED_OFFICIAL_CURRENT,2026-08-08,無印良品公式 婦人ニット・セーターを確認
BR-00004,ROPÉ PICNIC,brand,YES,https://www.ropepicnic.com/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,公式ブランドサイトを確認
BR-00005,VIS,brand,YES,https://www.jun.co.jp/brand/vis/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,JUN公式でWOMENSブランドとして確認
BR-00006,GLOBAL WORK,brand,YES,https://www.adastria.co.jp/brands/global_work/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で女性・男性・キッズ対象を確認
BR-00007,LOWRYS FARM,brand,YES,https://www.adastria.co.jp/english/brands/lowrys_farm/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で女性ブランドとして確認
BR-00008,studio CLIP,brand,YES,https://www.adastria.co.jp/brands/studioclip/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式ブランドページを確認
BR-00009,niko and ...,brand,YES,https://www.adastria.co.jp/brands/nikoand/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で女性・男性対象を確認
BR-00010,earth music&ecology,brand,YES,https://www.stripe-intl.com/brands/earth/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Stripe公式ブランドページを確認
BR-00011,Green Parks,brand,YES,https://stripe-club.com/brand/greenparks/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,STRIPE CLUB公式ブランドページを確認
BR-00012,OPAQUE.CLIP,brand,YES,https://store.world.co.jp/s/brand/opaque-clip/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,WORLD公式ブランドストアを確認
BR-00013,index,brand_and_women_knit,YES,https://store.world.co.jp/s/brand/index/,https://store.world.co.jp/s/brand/index/category/WB/WB01/,VERIFIED_OFFICIAL_CURRENT,2026-08-08,WORLD公式でLADIESニット/セーターを確認
BR-00014,SHOO・LA・RUE,brand_and_women_knit,YES,https://store.world.co.jp/s/brand/shoo-la-rue/,https://store.world.co.jp/s/brand/shoo-la-rue/category/WB/WB01/,VERIFIED_OFFICIAL_CURRENT,2026-08-08,WORLD公式でLADIESニット/セーターを確認
BR-00015,grove,brand,YES,https://store.world.co.jp/s/brand/grove/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,WORLD公式ブランドストアを確認
BR-00016,ikka,brand,YES,https://www.cox-online.co.jp/brand/ikka/index.html,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,COX公式ブランドページを確認
BR-00018,DoCLASSE,women_knit,YES,https://www.doclasse.com/item?brand_id=1&goods_group_id=430,https://www.doclasse.com/item?brand_id=1&goods_group_id=430,VERIFIED_OFFICIAL_CURRENT,2026-08-08,公式レディース デイリーニットカテゴリを確認
BR-00019,any SiS,brand,YES,https://any-onward.com/anysis/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,ANY公式内のANY SIS現行ページを確認
BR-00020,any FAM,legacy_lineage,LEGACY,https://any-onward.com/any/,,VERIFIED_LEGACY_REBRANDED,2026-08-08,公式ANYページでany FAMからANYへのリブランドを確認。旧ブランド履歴として保持
BR-00058,Te chichi,brand,YES,https://www.canshop.jp/techichi/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,CAN公式通販のTe chichi現行ページを確認
BR-00059,ANY,current_brand_identity,YES,https://any-onward.com/any/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,現行ANYブランドを公式確認。any FAMからのリブランド履歴を保持
BR-00061,MATINEE LINE,subline,YES,https://www.dot-st.com/globalwork/disp/itemlist/?dispNo=002001285,,VERIFIED_SUBLINE,2026-08-08,GLOBAL WORK公式内の女性向けMATINEE LINEとして確認。独立ブランド集計から分離
BR-00063,ROPÉ,brand,YES,https://www.jun.co.jp/brand/rope/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,JUN公式でWOMENSブランドとして確認
BR-00064,ADAM ET ROPÉ,brand,YES,https://www.jun.co.jp/brand/adam_et_rope/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,JUN公式でWOMENS/MENSブランドとして確認
