staging_product_id,staging_product_name,official_match_status,official_product_name,official_code,official_url,official_composition,official_functions,official_structure_note,change_required,checked_date,notes
PRD_ROPE_PICNIC_010,〖BEVERLY HILLS POLO CLUB 一部別注〗ケーブルニットプルオーバー/リンクコーデ,EXACT_OFFICIAL_MATCH,〖BEVERLY HILLS POLO CLUB 一部別注〗ケーブルニットプルオーバー/リンクコーデ,GDM86500,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM86500,本体: アクリル55%・綿45% / 衿・袖口リブ: アクリル54%・綿44%・ナイロン2%,,ケーブルニット,ADD_CODE_URL_COMPOSITION,2026-08-08,公式商品と一致。価格は変動するため固定更新しない
PRD_ROPE_PICNIC_011,〖BEVERLY HILLS POLO CLUB別注〗ポロカラーケーブルニット/リンクコーデ,EXACT_OFFICIAL_MATCH,〖BEVERLY HILLS POLO CLUB別注〗ポロカラーケーブルニット/リンクコーデ,GDM86510,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM86510,本体: アクリル55%・綿45% / 衿・袖口リブ: アクリル54%・綿44%・ナイロン2%,,ポロカラー・ケーブルニット,ADD_CODE_URL_COMPOSITION,2026-08-08,公式商品と一致。価格は変動するため固定更新しない
PRD_ROPE_PICNIC_005,〖ちゃんと+かわいい保証〗シャーベットニット リブハーフスリーブニット/UVケア,EXACT_OFFICIAL_MATCH,〖ちゃんと+かわいい保証〗シャーベットニット リブハーフスリーブニット/UVケア,GDM16650,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16650,綿50%・ナイロン47%・ポリウレタン3%,UVケア,リブ編み,ADD_CODE_URL_COMPOSITION,2026-08-08,既存UV機能を維持し公式混率を追加
PRD_ROPE_PICNIC_006,〖ちゃんと+かわいい保証〗シャーベットニット 刺繍シアーペプラムニット/UVケア・接触冷感,EXACT_OFFICIAL_MATCH,〖ちゃんと+かわいい保証〗シャーベットニット 刺繍シアーペプラムニット/UVケア・接触冷感,GDM16660,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16660,本体: 綿65%・ナイロン35% / 刺繍糸: 上糸 レーヨン・ポリエステル / 下糸 ポリエステル,UVケア; 接触冷感,シアーニット・刺繍,ADD_CODE_URL_COMPOSITION,2026-08-08,本体混率と刺繍糸を分離して保持
PRD_ROPE_PICNIC_007,〖ちゃんと+かわいい保証〗シャーベットニットミニケーブルポロカラーニット/UVケア,EXACT_OFFICIAL_MATCH,〖ちゃんと+かわいい保証〗シャーベットニットミニケーブルポロカラーニット/UVケア,GDM16670,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16670,レーヨン36%・綿36%・ナイロン28%,UVケア,ミニケーブル・ポロカラー,ADD_CODE_URL_COMPOSITION,2026-08-08,公式商品と一致
PRD_ROPE_PICNIC_015,クロシェニットカーディガン,EXACT_OFFICIAL_MATCH,クロシェニットカーディガン,GDK16160,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDK16160,綿77%・ナイロン12%・ポリエステル11%,,クロシェ/幾何学柄・太番手コットンコード,ADD_CODE_URL_COMPOSITION,2026-08-08,公式商品と一致
PRD_ROPE_PICNIC_019,サマーブークレーカラーカーディガン,EXACT_OFFICIAL_MATCH,サマーブークレーカラーカーディガン,GDK16150,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDK16150,レーヨン74%・ナイロン26%,,ブークレー・薄手,ADD_CODE_URL_COMPOSITION,2026-08-08,公式商品と一致
PRD_ROPE_PICNIC_020,ソマルティレイヤード風ベーシックカーディガン/UVカット・吸水速乾・遮熱,EXACT_OFFICIAL_MATCH,ソマルティレイヤード風ベーシックカーディガン/UVカット・吸水速乾・遮熱,GDK16400,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDK16400,ポリエステル70%・レーヨン30%,UVカット; 吸水速乾; 遮熱,レイヤード風カーディガン,ADD_CODE_URL_COMPOSITION,2026-08-08,既存機能表記と公式タイトル一致
PRD_ROPE_PICNIC_016,チュールフリルカーディガントップス,EXACT_OFFICIAL_MATCH,〖ちゃんと+かわいい保証〗チュールフリルカーディガントップス/UVケア,GDK16180,https://www.junonline.jp/rope-picnic/product/tops/cardigan/GDK16180,本体: 綿60%・ポリエステル35%・ポリウレタン5% / 別布: ポリエステル100%,UVケア,チュールフリル・カーディガントップス,ADD_OFFICIAL_NAME_CODE_URL_COMPOSITION_FUNCTION,2026-08-08,staging名に未記載だった公式UVケアを追加候補
PRD_ROPE_PICNIC_001,フォトプリントニットTシャツ,EXACT_OFFICIAL_MATCH,フォトプリントニットTシャツ,GDM16600,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16600,ポリエステル75%・レーヨン25%,,薄手ニットTシャツ・フォトプリント,ADD_CODE_URL_COMPOSITION_CONFIRMED,2026-08-08,既存staging POLY75/RY25と公式混率一致
TMP_NBR_BRNC_0003_0001,プチスパンコールフレンチスリーブメッシュニット,EXACT_OFFICIAL_MATCH,〖体型カバー〗二の腕すっきり見えプチスパンコールフレンチスリーブメッシュニット,GDM16560,https://www.junonline.jp/rope-picnic/product/tops/knit-sweater/GDM16560,レーヨン68%・アクリル18%・ナイロン9%・ポリエステル5%,,プチスパンコール・フレンチスリーブ・メッシュ,ADD_OFFICIAL_NAME_CODE_URL_COMPOSITION_CONFIRMED,2026-08-08,既存staging RY68/AC18/NY9/POLY5と公式混率一致
